,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,puertollano,100,ES,1565562977,29,38.69,-4.11,71.01,3.0
1,catuday,100,PH,1565562978,78,16.29,119.81,84.05,21.07
2,chuy,75,UY,1565562978,90,-33.69,-53.46,50.93,8.59
3,kapaa,1,US,1565562979,62,22.08,-159.32,87.8,10.29
4,norman wells,90,CA,1565562979,71,65.28,-126.83,53.6,10.29
5,fortuna,20,ES,1565562979,88,38.18,-1.13,81.0,17.6
6,hobart,75,AU,1565562898,65,-42.88,147.33,50.0,17.22
7,vaini,89,IN,1565562813,89,15.34,74.49,76.31,6.71
8,faanui,13,PF,1565562980,79,-16.48,-151.75,79.37,12.12
9,havelock,20,US,1565562981,58,34.88,-76.9,87.01,13.87
10,jamestown,6,AU,1565562981,72,-33.21,138.6,46.07,0.85
11,nikolskoye,90,RU,1565562981,93,59.7,30.79,62.01,4.47
12,kapaa,1,US,1565562859,62,22.08,-159.32,87.8,10.29
13,leiyang,16,CN,1565562982,64,26.42,112.85,84.59,0.94
14,lorengau,77,PG,1565562982,68,-2.02,147.27,82.61,1.36
15,rikitea,99,PF,1565562983,83,-23.12,-134.97,72.53,18.34
16,cape town,75,ZA,1565562714,87,-33.93,18.42,55.0,11.41
17,kaitangata,54,NZ,1565562983,88,-46.28,169.85,44.01,3.0
18,qaanaaq,95,GL,1565562984,67,77.48,-69.36,44.63,1.52
19,laguna,40,BZ,1565562984,70,16.17,-88.94,87.8,6.93
20,carnarvon,5,ZA,1565562984,91,-30.97,22.13,38.87,7.94
21,hualmay,28,PE,1565562984,86,-11.1,-77.61,59.57,21.05
22,athens,0,GR,1565562727,35,37.98,23.73,84.99,6.93
23,fortuna,20,US,1565562985,60,40.6,-124.16,71.6,14.99
24,alvorada,0,BR,1565562833,82,-30.0,-51.08,64.0,8.05
25,port said,0,EG,1565562986,14,25.34,30.55,82.07,4.7
26,pevek,3,RU,1565562986,92,69.7,170.27,37.61,22.53
27,srednekolymsk,0,RU,1565562987,51,67.46,153.71,65.33,12.06
28,lorengau,77,PG,1565562982,68,-2.02,147.27,82.61,1.36
29,adrar,0,DZ,1565562987,13,27.87,-0.29,102.2,6.93
30,tuktoyaktuk,90,CA,1565562988,93,69.44,-133.03,42.8,20.8
31,kapit,100,MY,1565562989,80,2.02,112.94,77.39,1.59
32,mataura,72,NZ,1565562990,94,-46.19,168.86,46.0,3.0
33,vaini,89,IN,1565562990,89,15.34,74.49,76.31,6.71
34,ratnagiri,94,IN,1565562851,82,16.98,73.3,81.17,21.59
35,yar-sale,100,RU,1565562790,67,66.83,70.83,47.51,10.71
36,rikitea,99,PF,1565562983,83,-23.12,-134.97,72.53,18.34
37,busselton,0,AU,1565562991,45,-33.64,115.35,53.01,21.39
38,ushuaia,75,AR,1565562992,94,-54.81,-68.31,32.0,17.22
39,busselton,0,AU,1565562991,45,-33.64,115.35,53.01,21.39
40,padang,99,ID,1565562993,80,-0.92,100.36,80.81,11.27
41,arraial do cabo,20,BR,1565562993,94,-22.97,-42.02,73.4,12.75
